taxa,Env,DON_ppm,Vibe,Manual,Visual,NIR
GA10268.17LE16,FSC19,43.92,50.6,19.2,35,77
GA10268.17LE16,FSC19,30.76,34.06,17.2,25,72
GA10268.17LE16,FSC20,NA,NA,23.2,35,66
GA10407.17E8,FSC19,38.44,67.08,20.6,40,76
GA10407.17E8,FSC19,29.08,50,13.1,35,56
GA10407.17E8,FSC20,NA,NA,1.2,5,39
GA10457.19LE13,FSC20,NA,NA,6.02,5,45
GA10457.19LE13,FSC20,NA,NA,5.94,5,48
GA10457.4.2.1.6.1.7.19LE13,FSC20,NA,NA,4.6,15,46
GA10457.4.2.1.6.1.7.19LE13,WLA20,NA,7.79,10.51051051,5,50
GA10559.17E14,FSC19,32.08,43.06,18.4,35,66
GA10559.17E14,FSC19,21.88,35.14,7.3,30,69
GA11052.3.1.2..19LE15,FSC20,NA,NA,NA,15,41
GA11052.3.1.2..19LE15,WLA20,NA,5.61,6.834170854,5,39
GA111007.18E45,FSC19,31.28,42,17.1,40,55
GA111007.18E45,FSC19,26.32,40.91,8.2,30,94
GA111093.17LE9,FSC19,34.96,33.75,13.8,30,63
GA111093.17LE9,FSC19,23.8,31.81,13.9,25,47
GA11656.17E11,FSC19,34.16,48.31,16.3,40,73
GA11656.17E11,FSC19,25.56,26.32,14.6,25,74
GA11656.17E11,FSC20,NA,NA,NA,NA,39
GA11656.17E12,FSC19,52.88,58.9,24.3,35,76
GA11656.17E12,FSC19,32.72,44.58,23.1,30,69
GA121012.13.3.4.19LE8,FSC20,NA,NA,NA,15,37
GA121012.13.3.4.19LE8,WLA20,NA,12.48,14.01401401,15,47
GA12145.6.8.7..19E19,FSC20,NA,NA,2.8,5,29
GA12145.6.8.7..19E19,WLA20,NA,10.39,13.81381381,10,45
GA12210.8..5.2..19E12,FSC20,NA,NA,NA,10,25
GA12210.8..5.2..19E12,WLA20,NA,15.52,14.95983936,10,43
GA12271.1.1.5..19LE9,FSC20,NA,NA,NA,5,35
GA12271.1.1.5..19LE9,WLA20,NA,13.67,11.48851149,10,43
GA12505B14.18LE23F,FSC19,27.04,30.71,14.9,35,44
GA12505B14.18LE23F,FSC19,5.48,20.62,1.67,10,74
GA12505B14.18LE23F,FSC20,NA,NA,4.9,5,41
